TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
RAPIDUS 25MG F.C. TABLET,DICLOFENAC POTASSIUM,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,9/30/2022
PROTEC 1 GM Injection,CEFEPIME HYDROCHLORIDE,2.4,ml,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,10/16/2024
PROTON 40MG E.C TAB,PANTOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,6/19/2025
PROTON 40MG E.C TAB,PANTOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,7/27/2025
PROTON 20MG E.C TABLET,PANTOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,2/16/2025
PROTON 20MG E.C TABLET,PANTOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,6/19/2025
PYRALVEX,"ANTHRAQUINONE GLYCOSIDE,SALICYLIC ACID",10,ml,NCE,OTC,RIYADH PHARMA,Saudi Arabia,Valid,7/31/2024
PREGADEX 300 MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,1/9/2025
PREGADEX 150 MG CAPSULE,PREGABALIN,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,4/24/2025
PERITONEAL DIALYSIS (F-C) WITH 1.36% DEXTROSE,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS (F-B) WITH 7% DEXTROSE,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS (F-A) WITH 1.36% DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS (F-A) WITH 1.36% DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIAL.(F- C)WITH1.36% DEXTROSE,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE,POTASSIUM CHLORIDE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PEPTAZOLE 30MG CAPSULE,LANSOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,1/9/2025
PEPTAZOLE 30MG CAPSULE,LANSOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,1/9/2025
PEPTAZOLE 15MG CAPSULE,LANSOPRAZOLE,-,-,Generic,OTC,SPIMACO,Saudi Arabia,Valid,1/9/2025
PEPTAZOLE 15MG CAPSULE,LANSOPRAZOLE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,1/9/2025
PERITONEAL DIALYSIS 1.5%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 1.5%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",2000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 1.5%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 1.5%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS SOLN 4.25%DEXT(LOWNa,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS SOLN 2.5%DEXT(LOW Na,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS SOLN 1.5%DEXT& POTAS,"DEXTROSE,SODIUM CHLORIDE,POTASSIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 7% DEX 140.21MMOL SO,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 4.25%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",2000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,1/19/2023
PERITONEAL DIALYSIS 4.25%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/20/2022
PERITONEAL DIALYSIS 4.25%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 4.25%DEX,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
